Category	Subcategory	Item Name	Price
Valued Bento	$6 Valued Bento	Set A: Sambal Fish	6
Valued Bento	$6 Valued Bento	Set B: Chicken Chop	6
Valued Bento	$6 Valued Bento	Set C: Dry Curry Chicken	6
Valued Bento	$6 Valued Bento	Set D: Sweet & Sour Fish	6
Local Bento	Healthier Deluxe Bento	Set A: Stir-Fried Chicken Breast	6.8
Local Bento	Healthier Deluxe Bento	Set B: Steamed Fish With Seawead Sauce	6.8
Local Bento	Hainanese Chicken Rice Bento	Hainanese Chicken Rice Bento	7
Local Bento	Vegetarian Bento	Set A: Pandan Mock Chicken Mushroom Noodle	6
Local Bento	Vegetarian Bento	Set B: Sweet & Sour Mock Chicken	6
The Old Chang Kee Platter	FREE 2 X 1.5 LITRE of Seasonal Drink for every purchase of Old Chang Kee Platter ($138)!	The Old Chang Kee Platter	138
Old Chang Kee Favourites (Min Order of $150)	Traditional Favourites	Curry 'O	1.6
Old Chang Kee Favourites (Min Order of $150)	Traditional Favourites	Carrot K8	1.5
Old Chang Kee Favourites (Min Order of $150)	Traditional Favourites	Spring 'O	1.6
Old Chang Kee Favourites (Min Order of $150)	Traditional Favourites	Gyoza OnStik	Sold Out
Old Chang Kee Favourites (Min Order of $150)	Seafood Favourites	Sardine 'O	1.6
Old Chang Kee Favourites (Min Order of $150)	Seafood Favourites	Fishball OnStik	1.5
Old Chang Kee Favourites (Min Order of $150)	Seafood Favourites	Soton Ball Onstik	1.7
Old Chang Kee Favourites (Min Order of $150)	Seafood Favourites	Sotong Head Onstik	1.8
Old Chang Kee Favourites (Min Order of $150)	Seafood Favourites	Soton Wing OnStik	1.8
Old Chang Kee Favourites (Min Order of $150)	Seafood Favourites	Big Fishball OnStik	2.2
Old Chang Kee Favourites (Min Order of $150)	Seafood Favourites	Crab Nugget OnStik	1.8
Old Chang Kee Favourites (Min Order of $150)	Seafood Favourites	Fish Fillet OnStik	1.8
Old Chang Kee Favourites (Min Order of $150)	Chicken Favourites	Chicken Mushroom 'O	1.6
Old Chang Kee Favourites (Min Order of $150)	Chicken Favourites	Chicken Wing	1.8
Old Chang Kee Favourites (Min Order of $150)	Chicken Favourites	Chicken Nugget OnStik	1.8
Old Chang Kee Favourites (Min Order of $150)	Chicken Favourites	Chicken Wrap OnStik	1.8
Old Chang Kee Favourites (Min Order of $150)	Chicken Favourites	Cheezy Chicken Ball OnStik	1.8
Old Chang Kee Favourites (Min Order of $150)	Chicken Favourites	Cheezy Chicken Sausage OnStik	1.8
Old Chang Kee Favourites (Min Order of $150)	Chicken Favourites	Chicken Chunky Pops	3.1
Old Chang Kee Favourites (Min Order of $150)	Desserts	Green Bean Feel'in	1.5
Old Chang Kee Favourites (Min Order of $150)	Desserts	Yam Feel'in	1.5
